StationId,Month,total
2,9,611
2,10,717
2,11,904
2,12,1477
2,1,1264
2,2,980
2,3,972
2,4,1097
2,5,831
2,6,545
2,7,517
2,8,569
3,9,382
3,10,465
3,11,519
3,12,558
3,1,614
3,2,540
3,3,575
3,4,443
3,5,564
3,6,199
3,7,257
3,8,254
4,9,197
4,10,208
4,11,137
4,12,110
4,1,158
4,2,187
4,3,225
4,4,188
4,5,187
4,6,210
4,7,204
4,8,194
5,9,62
5,10,63
5,11,39
5,12,32
5,1,53
5,2,35
5,3,57
5,4,133
5,5,87
5,6,125
5,7,41
5,8,49
6,9,653
6,10,191
6,11,252
6,12,528
6,1,244
6,2,560
6,3,839
6,4,451
6,5,766
6,6,1022
6,7,631
6,8,770
7,9,425
7,10,176
7,11,246
7,12,162
7,1,250
7,2,307
7,3,1068
7,4,216
7,5,106
7,6,98
7,7,139
7,8,129
8,9,65
8,10,59
8,11,55
8,12,31
8,1,76
8,2,53
8,3,48
8,4,62
8,5,66
8,6,100
8,7,58
8,8,41
9,9,222
9,10,316
9,11,321
9,12,93
9,1,119
9,2,97
9,3,343
9,4,135
9,5,162
9,6,129
9,7,283
9,8,165
10,9,505
10,10,602
10,11,361
10,12,558
10,1,752
10,2,514
10,3,501
10,4,70
10,5,508
10,6,230
10,7,127
10,8,325
11,9,172
11,10,292
11,11,303
11,12,590
11,1,728
11,2,415
11,3,403
11,4,647
11,5,536
11,6,215
11,7,199
11,8,254
12,9,1061
12,10,1114
12,11,1506
12,12,1613
12,1,1624
12,2,1518
12,3,1057
12,4,1256
12,5,1470
12,6,733
12,7,1541
12,8,1010
13,9,616
13,10,524
13,11,296
13,12,362
13,1,320
13,2,104
13,3,151
13,4,146
13,5,375
13,6,225
13,7,119
13,8,168
14,9,394
14,10,76
14,11,737
14,12,1001
14,1,78
14,2,142
14,3,153
14,4,374
14,5,402
14,6,339
14,7,179
14,8,516
16,9,176
16,10,567
16,11,861
16,12,893
16,1,143
16,2,36
16,3,213
16,4,537
16,5,477
16,6,328
16,7,327
16,8,404
21,9,1255
21,10,2029
21,11,2864
21,12,2499
21,1,1088
21,2,567
21,3,1878
21,4,1258
21,5,920
21,6,481
21,7,575
21,8,120
22,9,73
22,10,59
22,11,104
22,12,729
22,1,494
22,2,431
22,3,522
22,4,239
22,5,478
22,6,157
22,7,167
22,8,177
23,9,9
23,10,21
23,11,16
23,12,58
23,1,52
23,2,23
23,3,16
23,4,12
23,5,29
23,6,359
23,7,790
23,8,79
24,9,278
24,10,503
24,11,1347
24,12,926
24,1,2016
24,2,1310
24,3,1218
24,4,808
24,5,8
24,6,253
24,7,399
24,8,300
25,9,117
25,10,149
25,11,319
25,12,411
25,1,143
25,2,872
25,3,454
25,4,453
25,5,856
25,6,1261
25,7,956
25,8,682
26,9,103
26,10,101
26,11,136
26,12,8
26,1,39
26,2,27
26,3,33
26,4,37
26,5,23
26,6,16
26,7,34
26,8,39
27,9,278
27,10,323
27,11,300
27,12,153
27,1,202
27,2,133
27,3,197
27,4,234
27,5,153
27,6,237
27,7,241
27,8,220
28,9,789
28,10,614
28,11,697
28,12,546
28,1,419
28,2,537
28,3,780
28,4,759
28,5,909
28,6,665
28,7,592
28,8,731
29,9,131
29,10,170
29,11,99
29,12,82
29,1,175
29,2,194
29,3,227
29,4,298
29,5,167
29,6,98
29,7,94
29,8,100
30,9,778
30,10,1064
30,11,768
30,12,1386
30,1,1841
30,2,898
30,3,1031
30,4,659
30,5,834
30,6,691
30,7,471
30,8,704
31,9,210
31,10,313
31,11,329
31,12,66
31,1,130
31,2,168
31,3,198
31,4,177
31,5,135
31,6,112
31,7,78
31,8,88
32,9,155
32,10,136
32,11,103
32,12,62
32,1,119
32,2,81
32,3,114
32,4,105
32,5,117
32,6,121
32,7,158
32,8,177
33,9,54
33,10,51
33,11,43
33,12,52
33,1,113
33,2,59
33,3,123
33,4,196
33,5,75
33,6,69
33,7,96
33,8,115
34,9,566
34,10,264
34,11,267
34,12,784
34,1,827
34,2,1116
34,3,861
34,4,322
34,5,322
34,6,500
34,7,522
34,8,471
35,9,164
35,10,346
35,11,260
35,12,336
35,1,577
35,2,608
35,3,550
35,4,205
35,5,859
35,6,727
35,7,538
35,8,472
36,9,490
36,10,546
36,11,178
36,12,785
36,1,526
36,2,428
36,3,1124
36,4,651
36,5,1213
36,6,1003
36,7,1018
36,8,546
37,9,803
37,10,712
37,11,234
37,12,223
37,1,172
37,2,237
37,3,329
37,4,814
37,5,315
37,6,378
37,7,765
37,8,921
38,9,42
38,10,56
38,11,40
38,12,15
38,1,479
38,2,89
38,3,135
38,4,125
38,5,166
38,6,52
38,7,58
38,8,49
39,9,1039
39,10,1177
39,11,952
39,12,785
39,1,865
39,2,815
39,3,962
39,4,904
39,5,985
39,6,926
39,7,889
39,8,1100
41,9,669
41,10,661
41,11,518
41,12,427
41,1,631
41,2,517
41,3,671
41,4,591
41,5,587
41,6,621
41,7,613
41,8,606
42,9,764
42,10,822
42,11,825
42,12,558
42,1,555
42,2,520
42,3,909
42,4,867
42,5,726
42,6,768
42,7,802
42,8,779
45,9,813
45,10,845
45,11,575
45,12,506
45,1,648
45,2,592
45,3,757
45,4,652
45,5,635
45,6,608
45,7,693
45,8,608
46,9,354
46,10,319
46,11,289
46,12,225
46,1,338
46,2,303
46,3,375
46,4,363
46,5,332
46,6,306
46,7,352
46,8,359
47,9,523
47,10,584
47,11,382
47,12,320
47,1,418
47,2,373
47,3,484
47,4,469
47,5,470
47,6,506
47,7,533
47,8,519
48,9,665
48,10,721
48,11,594
48,12,444
48,1,547
48,2,502
48,3,635
48,4,606
48,5,643
48,6,737
48,7,772
48,8,783
49,9,552
49,10,649
49,11,423
49,12,400
49,1,547
49,2,411
49,3,553
49,4,586
49,5,535
49,6,576
49,7,642
49,8,602
50,9,2080
50,10,2496
50,11,1723
50,12,1801
50,1,2271
50,2,2040
50,3,2456
50,4,2346
50,5,2524
50,6,2229
50,7,2142
50,8,2091
51,9,1384
51,10,1883
51,11,1895
51,12,1580
51,1,1913
51,2,1577
51,3,1680
51,4,1457
51,5,1572
51,6,1316
51,7,1527
51,8,1680
54,9,841
54,10,854
54,11,1093
54,12,1327
54,1,1678
54,2,1218
54,3,1355
54,4,1419
54,5,1275
54,6,1067
54,7,883
54,8,906
55,9,1315
55,10,1439
55,11,1224
55,12,879
55,1,1185
55,2,1125
55,3,1306
55,4,1217
55,5,1430
55,6,1361
55,7,1330
55,8,1465
56,9,888
56,10,1123
56,11,935
56,12,876
56,1,880
56,2,749
56,3,891
56,4,904
56,5,741
56,6,890
56,7,827
56,8,819
57,9,775
57,10,878
57,11,674
57,12,579
57,1,774
57,2,874
57,3,869
57,4,826
57,5,769
57,6,789
57,7,709
57,8,698
58,9,320
58,10,320
58,11,198
58,12,246
58,1,224
58,2,213
58,3,260
58,4,253
58,5,281
58,6,173
58,7,264
58,8,258
59,9,372
59,10,385
59,11,286
59,12,209
59,1,277
59,2,236
59,3,378
59,4,358
59,5,378
59,6,377
59,7,432
59,8,350
60,9,1504
60,10,1708
60,11,1433
60,12,1481
60,1,1875
60,2,1674
60,3,1954
60,4,1957
60,5,2161
60,6,1831
60,7,1643
60,8,1806
61,9,2388
61,10,2659
61,11,2035
61,12,1596
61,1,1475
61,2,1555
61,3,1964
61,4,1793
61,5,1659
61,6,1742
61,7,1842
61,8,2089
62,9,727
62,10,935
62,11,775
62,12,684
62,1,775
62,2,779
62,3,1208
62,4,993
62,5,766
62,6,887
62,7,884
62,8,783
63,9,695
63,10,686
63,11,489
63,12,403
63,1,592
63,2,611
63,3,806
63,4,811
63,5,726
63,6,688
63,7,702
63,8,722
64,9,1102
64,10,1266
64,11,1081
64,12,1134
64,1,1537
64,2,1229
64,3,1470
64,4,1476
64,5,1433
64,6,1220
64,7,943
64,8,1079
65,9,1343
65,10,1516
65,11,1304
65,12,985
65,1,1482
65,2,1384
65,3,1782
65,4,1651
65,5,1553
65,6,1632
65,7,1439
65,8,1464
66,9,851
66,10,889
66,11,570
66,12,468
66,1,505
66,2,405
66,3,560
66,4,560
66,5,523
66,6,546
66,7,565
66,8,569
67,9,1070
67,10,1287
67,11,979
67,12,654
67,1,992
67,2,939
67,3,1090
67,4,1075
67,5,1048
67,6,1025
67,7,982
67,8,951
68,9,763
68,10,737
68,11,665
68,12,528
68,1,651
68,2,693
68,3,751
68,4,687
68,5,715
68,6,630
68,7,552
68,8,621
69,9,2560
69,10,3071
69,11,2378
69,12,2050
69,1,2150
69,2,2198
69,3,2841
69,4,2916
69,5,2892
69,6,2856
69,7,3032
69,8,2845
70,9,3448
70,10,3988
70,11,3564
70,12,2884
70,1,3762
70,2,3377
70,3,3686
70,4,3434
70,5,3128
70,6,2991
70,7,3057
70,8,2836
71,9,743
71,10,801
71,11,777
71,12,1428
71,1,1508
71,2,865
71,3,1303
71,4,1200
71,5,1525
71,6,1058
